trial,english_target,nonword_target,same_handshape_prime_ASL,same_location_prime_ASL,different_handshape_and_location_prime_ASL
1,Red,Blentic,ADDICT,FROG,FIRE
2,Girl,Frallop,PAGE,DEAF,PLANT
3,Car,Trell ,WORK,THEATER,SPOON
4,Movie,Clamper,LETTUCE,PLEASE,PLATE
5,Apple,Vant ,ONION,FRUIT,MUSIC
6,Mother,Quell ,FATHER,SECRET,TABLE
7,Money,Plimpet,FOOD,WEEK,HAT
8,Church,Drelk,CUP,PRINCIPAL,CAT
9,King,Vantle,POLITICS,QUEEN,DRUM
10,Dye,Grozzet,FRENCH,RAIN,CHAIR
11,Time,Thrample,MIND,POTATO,BASKETBALL
12,Devil,Skidder,BUG,HORSE,ORANGE
13,Game,Wamble,NUT,HOUSE,MATH
14,Lion,Fligget,SALAD,BALD,SECRET
15,Friend,Crundle,SUMMER,COFFEE,CROWN
16,Candy,Spridge,NOSE,BEE,WATER
17,Blue,Drax,SHARK,PURPLE,TOMATO
18,Number,Zintle,FLOWER,PHYSICS,PRIDE
19,Sheep,Gribble,PINK,COMPUTER,NECKLACE
20,Whale,Shrend,PHONE,FISH,TRASH
